season_order_index,season_short_name,season_id,episode_order_index,episode_id,episode_index,episode_name,episode_short_name,episode_onair_at,episode_url
0,pre,24442,0,24441,1,相棒 pre season 相棒～警視庁ふたりだけの特命係,相棒～警視庁ふたりだけの特命係,2000-06-03T00:00:00+09:00,https://douga.tv-asahi.co.jp/program/16839-24442/24441
0,pre,24442,1,24443,2,相棒 pre season 相棒2～警視庁ふたりだけの特命係～,相棒2～警視庁ふたりだけの特命係～,2001-01-27T00:00:00+09:00,https://douga.tv-asahi.co.jp/program/16839-24442/24443
0,pre,24442,2,24444,3,相棒 pre season 相棒3　警視庁ふたりだけの特命係～大学病院助教授墜落殺人事件！,相棒3　警視庁ふたりだけの特命係～大学病院助教授墜落殺人事件！,2001-11-10T00:00:00+09:00,https://douga.tv-asahi.co.jp/program/16839-24442/24444
1,1,23499,0,23498,1,相棒 season1 第1話「警視総監室にダイナマイト男が乱入！刑事が人質に！？犯罪の影に女あり…」,警視総監室にダイナマイト男が乱入！刑事が人質に！？犯罪の影に女あり…,2002-10-09T00:00:00+09:00,https://douga.tv-asahi.co.jp/program/16839-23499/23498
1,1,23499,1,23500,2,相棒 season1 第2話「教授夫人とその愛人」,教授夫人とその愛人,2002-10-16T00:00:00+09:00,https://douga.tv-asahi.co.jp/program/16839-23499/23500
1,1,23499,2,23501,3,相棒 season1 第3話「秘密の元アイドル妻」,秘密の元アイドル妻,2002-10-23T00:00:00+09:00,https://douga.tv-asahi.co.jp/program/16839-23499/23501
1,1,23499,3,23502,4,相棒 season1 第4話「下着泥棒と生きていた死体」,下着泥棒と生きていた死体,2002-10-30T00:00:00+09:00,https://douga.tv-asahi.co.jp/program/16839-23499/23502
1,1,23499,4,23503,5,相棒 season1 第5話「目撃者」,目撃者,2002-11-06T00:00:00+09:00,https://douga.tv-asahi.co.jp/program/16839-23499/23503
1,1,23499,5,23504,6,相棒 season1 第6話「死んだ詐欺師と女美術館長の指紋」,死んだ詐欺師と女美術館長の指紋,2002-11-13T00:00:00+09:00,https://douga.tv-asahi.co.jp/program/16839-23499/23504
1,1,23499,6,23505,7,相棒 season1 第7話「殺しのカクテル」,殺しのカクテル,2002-11-20T00:00:00+09:00,https://douga.tv-asahi.co.jp/program/16839-23499/23505
1,1,23499,7,23506,8,相棒 season1 第8話「仮面の告白」,仮面の告白,2002-11-27T00:00:00+09:00,https://douga.tv-asahi.co.jp/program/16839-23499/23506
